"Numéro","Nom","Rang","Bac","","Bulletins","L. Motiv.","Libre","Limite","Ent. FA","Remarque","","EVALN"
"691255","#REF!","262/540","S Physique-chimie","","-1","-0.5","","","","","",""
"709740","#REF!","206/540","S Physique-chimie","","0.5","0.5","0","x","x","","",""
"192554","#REF!","284/540","S Sciences de la vie et de la terre","","1","0.5","0","","","","",""
"214417","#REF!","300/540","S Sciences de la vie et de la terre","","0","0","0","","","","",""
"214605","#REF!","309/540","S Sciences de la vie et de la terre","","0","0.5","0","","","","",""
"214660","#REF!","321/540","S Sciences de la vie et de la terre","","-0.5","0","0","","","","",""
"267597","#REF!","172/540","S Sciences de la vie et de la terre","","0.5","0","0","","","","",""
"268343","#REF!","359/540","S Sciences de la vie et de la terre","","-0.5","0","0","","","","",""
"269235","#REF!","230/540","S Sciences de la vie et de la terre","","0","0.5","0","","","","",""
"270842","#REF!","152/540","S Sciences de la vie et de la terre","","0.5","0.5","0","","","","",""
"302351","#REF!","212/540","S Sciences de la vie et de la terre","","0","1","0","x","x","","",""
"305478","#REF!","266/540","S Sciences de la vie et de la terre","","0.5","0.5","0","","","","",""
"411998","#REF!","159/540","S Sciences de la vie et de la terre","","1","0","0","","","","",""
"416386","#REF!","194/540","S Sciences de la vie et de la terre","","-1","0","","","","","",""
"451086","#REF!","352/540","S Sciences de la vie et de la terre","","0","0","0","","","","",""
"451147","#REF!","347/540","S Sciences de la vie et de la terre","","-0.5","0","0","","","","",""
"460314","#REF!","372/540","S Sciences de la vie et de la terre","","0","0.5","0","","","","",""
"478768","#REF!","214/540","S Sciences de la vie et de la terre","","0","0","0","","","","",""
"478827","#REF!","267/540","S Sciences de la vie et de la terre","","-0.5","0.5","0","","","","",""
"528477","#REF!","276/540","S Sciences de la vie et de la terre","","0","0.5","0","","","","",""
"528704","#REF!","277/540","S Sciences de la vie et de la terre","","0.5","0.5","0","","x","","",""
"565702","#REF!","252/540","S Sciences de la vie et de la terre","","0","0","0","","","","",""
"576100","#REF!","284/540","S Sciences de la vie et de la terre","","0","1","0","","x","","",""
"576257","#REF!","145/540","S Sciences de la vie et de la terre","","-0.5","0","0","","","","",""
"579575","#REF!","246/540","S Sciences de la vie et de la terre","","0","0.5","0","","","","",""
"630089","#REF!","214/540","S Sciences de la vie et de la terre","","1","1","0","","","","",""
"659591","#REF!","292/540","S Sciences de la vie et de la terre","","0.5","0.5","0","","","","",""
"682434","#REF!","287/540","S Sciences de la vie et de la terre","","0.5","0.5","0","","","","",""
"833299","#REF!","176/540","S Sciences de la vie et de la terre","","0","-0.5","0","","","","",""
"147505","#REF!","588/1724","S Informatique et Sciences du numérique","","1","0.5","0","","","","",""
"149612","#REF!","839/1724","S Informatique et Sciences du numérique","","-1","-0,5","0","","","","",""
"163874","#REF!","492/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"166479","#REF!","445/1724","S Informatique et Sciences du numérique","","-1","-0,5","0","","","","",""
"168997","#REF!","606/1724","S Informatique et Sciences du numérique","","0","0","0","","","","",""
"181664","#REF!","571/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"211771","#REF!","680/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"233421","#REF!","692/1724","S Informatique et Sciences du numérique","","-1","0.5","0","","","","",""
"255345","#REF!","440/1724","S Informatique et Sciences du numérique","","0","0.5","1","","","","",""
"256818","#REF!","511/1724","S Informatique et Sciences du numérique","","0.5","0.5","1","","","","",""
"263366","#REF!","466/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"272580","#REF!","458/1724","S Informatique et Sciences du numérique","","-0.5","0","0","","","","",""
"298192","#REF!","759/1724","S Informatique et Sciences du numérique","","-1","-0.5","0","","","","",""
"319307","#REF!","709/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"319334","#REF!","735/1724","S Informatique et Sciences du numérique","","-0.5","-0.5","0","","","","",""
"319420","#REF!","1136/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"333624","#REF!","545/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"340789","#REF!","431/1724","S Informatique et Sciences du numérique","","1","0.5","0","","","","",""
"361980","#REF!","565/1724","S Informatique et Sciences du numérique","","-0.5","0","0","","","","",""
"376883","#REF!","726/1724","S Informatique et Sciences du numérique","","-1","-0.5","0","","","","",""
"376956","#REF!","687/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"405521","#REF!","504/1724","S Informatique et Sciences du numérique","","0","0","0","","","","",""
"405606","#REF!","686/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"416474","#REF!","624/1724","S Informatique et Sciences du numérique","","0","0","-1","","","","",""
"420281","#REF!","739/1724","S Informatique et Sciences du numérique","","0","0.5","0","","","","",""
"424696","#REF!","1166/1724","S Informatique et Sciences du numérique","","-2","-0.5","0","","","","",""
"424793","#REF!","602/1724","S Informatique et Sciences du numérique","","0","0","0","","","","",""
"437326","#REF!","671/1724","S Informatique et Sciences du numérique","","-1","-0.5","0","","","","",""
"438506","#REF!","463/1724","S Informatique et Sciences du numérique","","-1","0","1","","","","",""
"438573","#REF!","798/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"450816","#REF!","1124/1724","S Informatique et Sciences du numérique","","-2","0","1","","","","",""
"504673","#REF!","468/1724","S Informatique et Sciences du numérique","","1","1","0","","","","",""
"510393","#REF!","756/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"510657","#REF!","527/1724","S Informatique et Sciences du numérique","","0","0.5","0","","","","",""
"533936","#REF!","541/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"534217","#REF!","1024/1724","S Informatique et Sciences du numérique","","-1","0","0","","","","",""
"534239","#REF!","584/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"554163","#REF!","526/1724","S Informatique et Sciences du numérique","","1","1","0","","","","",""
"565689","#REF!","777/1724","S Informatique et Sciences du numérique","","0","0.5","0","","","","",""
"565696","#REF!","584/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"565846","#REF!","891/1724","S Informatique et Sciences du numérique","","0.5","0","0","","","","",""
"567479","#REF!","521/1724","S Informatique et Sciences du numérique","","1","0","0","","","","",""
"580196","#REF!","519/1724","S Informatique et Sciences du numérique","","-1","0.5","0","","","","",""
"598350","#REF!","643/1724","S Informatique et Sciences du numérique","","-1","0.5","0","","","","",""
"630223","#REF!","660/1724","S Informatique et Sciences du numérique","","-2","0","0","","","","",""
"633860","#REF!","598/1724","S Informatique et Sciences du numérique","","1","0.5","0","","","","",""
"636928","#REF!","635/1724","S Informatique et Sciences du numérique","","-0.5","1","0","","","","",""
